japanese,english
の,Possessive Particle
に,Destination Particle
は,Subject Particle
た,Particle
を,Subject Particle
だ,is
が,Subject Particle
て,hand
と,and particle
ます,Verb ending
ている,ing
です,is
れる,Be
という,As
事,case
えー,Um
言う,To tell
のです,That is
あの,that
する,do
まー,Ma
の,of
ある,be
なる,Become
か,mosquito
その,That
けれど,But
から,from
よう,So
思う,think
で,and
か,mosquito
が,But
物,object
そう,yes
と,When
私,Me
てしまう,Be
それ,that
とか,And
この,this
無い,No
行く,go
のだ,Tremendous
せる,Make
これ,this
もう,Already
な,Named
ず,figure
ので,So
よ,world
こう,like this
から,from
ば,palce
や,or
来る,come
その,That
まで,to
見る,look
たり,Otherwise
今,now
良い,good
所,Place
ん,Hmm
あー,ah
やはり,also
たい,sea ​​bream
やる,do
中,During ~
できる,can
として,As
後,rear
また,Also
ちょっと,A little
てくる,Come
だけ,only
くらい,About
ではない,is not
えーと,Um
方,direction
ていく,To go
へ,What
どう,copper
し,death
本当,For real
持つ,Hold
出る,Come out
ため,For
すごい,very
